architecture,target,tier,group,timescale_ms,neuron_idx,probe_type,r2_trained,r2_untrained,delta_r2,selectivity,p_value,r2_null_mean,r2_null_std,block_size,tau_e,pearson_trained,pearson_untrained,diagnosis
lstm,gabaa_per_tc,1,existing_synaptic,5.0,0,ridge,0.5679896235466003,0.555529522895813,0.0124601006507872,0.0623966985940933,0.0476190476190476,0.505592924952507,0.0015142157419412,1500,500,0.7537628412246704,0.745802640914917,STRUCTURAL
lstm,gabaa_per_tc,1,existing_synaptic,5.0,0,mlp_1,0.5363323092460632,0.4743699431419372,0.0619623661041259,0.0623966985940933,0.0476190476190476,0.505592924952507,0.0015142157419412,1500,500,0.7335029244422913,0.6889544129371643,NONLINEAR_ENCODING
lstm,gabaa_per_tc,1,existing_synaptic,5.0,0,mlp_2,0.5802930593490601,0.5166952013969421,0.0635978579521179,0.0623966985940933,0.0476190476190476,0.505592924952507,0.0015142157419412,1500,500,0.7630065083503723,0.719376802444458,NONLINEAR_ENCODING
lstm,gabaa_per_tc,1,existing_synaptic,5.0,1,ridge,0.5117839336395263,0.4971964836120605,0.0145874500274658,0.1228039330244064,0.0476190476190476,0.3889800006151199,0.0040615594387781,57,19,0.7154859900474548,0.7049548029899597,STRUCTURAL
lstm,gabaa_per_tc,1,existing_synaptic,5.0,1,mlp_1,0.4858481287956238,0.403574526309967,0.0822736024856567,0.1228039330244064,0.0476190476190476,0.3889800006151199,0.0040615594387781,57,19,0.6975330710411072,0.6359813213348389,NONLINEAR_ENCODING
lstm,gabaa_per_tc,1,existing_synaptic,5.0,1,mlp_2,0.529305100440979,0.4509920179843902,0.0783130824565887,0.1228039330244064,0.0476190476190476,0.3889800006151199,0.0040615594387781,57,19,0.727969765663147,0.6720631718635559,NONLINEAR_ENCODING
lstm,gabaa_per_tc,1,existing_synaptic,5.0,2,ridge,0.4673604965209961,0.4295561790466308,0.0378043174743652,0.1059948337078094,0.0476190476190476,0.3613656628131866,0.0034679861809596,51,17,0.6853563189506531,0.6599770784378052,STRUCTURAL
lstm,gabaa_per_tc,1,existing_synaptic,5.0,2,mlp_1,0.4419950544834137,0.3375828862190246,0.104412168264389,0.1059948337078094,0.0476190476190476,0.3613656628131866,0.0034679861809596,51,17,0.6684437990188599,0.594524085521698,NONLINEAR_ENCODING
lstm,gabaa_per_tc,1,existing_synaptic,5.0,2,mlp_2,0.4939083456993103,0.3964407444000244,0.0974676012992858,0.1059948337078094,0.0476190476190476,0.3613656628131866,0.0034679861809596,51,17,0.7040534019470215,0.6364320516586304,NONLINEAR_ENCODING
lstm,gabaa_per_tc,1,existing_synaptic,5.0,3,ridge,0.476908814907074,0.4640479326248169,0.012860882282257,0.0948876577615737,0.0476190476190476,0.3820211571455002,0.0035087560223941,51,17,0.689685046672821,0.6803032159805298,STRUCTURAL
lstm,gabaa_per_tc,1,existing_synaptic,5.0,3,mlp_1,0.4602959752082824,0.3902875483036041,0.0700084269046783,0.0948876577615737,0.0476190476190476,0.3820211571455002,0.0035087560223941,51,17,0.6769174337387085,0.6240129470825195,NONLINEAR_ENCODING
lstm,gabaa_per_tc,1,existing_synaptic,5.0,3,mlp_2,0.4899197518825531,0.440044641494751,0.0498751103878021,0.0948876577615737,0.0476190476190476,0.3820211571455002,0.0035087560223941,51,17,0.6991084814071655,0.6619536280632019,STRUCTURAL
lstm,gabaa_per_tc,1,existing_synaptic,5.0,4,ridge,0.3551806092262268,0.3464011073112488,0.008779501914978,0.0537754774093627,0.0476190476190476,0.301405131816864,0.0027014893614757,50,5,0.5916464328765869,0.5840618014335632,STRUCTURAL
lstm,gabaa_per_tc,1,existing_synaptic,5.0,4,mlp_1,0.344567596912384,0.3083457052707672,0.0362218916416168,0.0537754774093627,0.0476190476190476,0.301405131816864,0.0027014893614757,50,5,0.5811650156974792,0.5507711172103882,STRUCTURAL
lstm,gabaa_per_tc,1,existing_synaptic,5.0,4,mlp_2,0.3723682165145874,0.332491785287857,0.0398764312267303,0.0537754774093627,0.0476190476190476,0.301405131816864,0.0027014893614757,50,5,0.6038424968719482,0.5710769891738892,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,0,ridge,0.977844786643982,0.9858163475990296,-0.0079715609550476,0.0047698128223415,0.0476190476190476,0.9730749738216404,0.0003856078883,1500,500,0.9888669848442078,0.9928864240646362,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,0,mlp_1,0.9777436256408693,0.972603440284729,0.0051401853561401,0.0047698128223415,0.0476190476190476,0.9730749738216404,0.0003856078883,1500,500,0.9898468255996704,0.9867064356803894,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,0,mlp_2,0.9718528985977172,0.9689787030220032,0.0028741955757141,0.0047698128223415,0.0476190476190476,0.9730749738216404,0.0003856078883,1500,500,0.9898107647895812,0.9870683550834656,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,1,ridge,0.9768231749534608,0.9841740250587464,-0.0073508501052855,0.0050991129875183,0.0476190476190476,0.9717240619659424,0.0003974978823746,1500,500,0.9883497357368468,0.9920821189880372,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,1,mlp_1,0.977176547050476,0.9701258540153505,0.0070506930351257,0.0050991129875183,0.0476190476190476,0.9717240619659424,0.0003974978823746,1500,500,0.9893068075180054,0.9855481386184692,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,1,mlp_2,0.9725167155265808,0.9668795466423036,0.0056371688842773,0.0050991129875183,0.0476190476190476,0.9717240619659424,0.0003974978823746,1500,500,0.9897726774215698,0.9861202239990234,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,2,ridge,0.9749320030212404,0.9817971825599672,-0.0068651795387267,0.0051580619812011,0.0476190476190476,0.9697739410400392,0.0004016726093014,1500,500,0.987492859363556,0.9910618662834167,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,2,mlp_1,0.9738181233406068,0.9666347503662108,0.0071833729743957,0.0051580619812011,0.0476190476190476,0.9697739410400392,0.0004016726093014,1500,500,0.9880112409591676,0.9840654134750366,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,2,mlp_2,0.971053421497345,0.9616575241088868,0.0093958973884582,0.0051580619812011,0.0476190476190476,0.9697739410400392,0.0004016726093014,1500,500,0.9889513254165648,0.9844075441360474,STRUCTURAL
lstm,gabab_per_tc,1,existing_synaptic,150.0,3,ridge,0.9768734455108644,0.9851478338241576,-0.0082743883132934,0.0048139667510986,0.0476190476190476,0.9720594787597656,0.0004030014041472,1500,500,0.9883837699890136,0.9925456047058104,STRUCTURAL
