architecture,target,probe_type,tier,timescale_ms,n_neurons,r2_trained_mean,r2_trained_max,delta_r2_mean,selectivity_mean,n_significant,dominant_diagnosis,diagnosis_counts
neural_ode,gabaa_per_tc,mlp_1,1,5.0,5,-0.20013952851295466,-0.1625899374485016,-0.09498113840818402,-0.00515450155735018,1,GENUINE_ZOMBIE,{'GENUINE_ZOMBIE': 5}
neural_ode,gabaa_per_tc,mlp_2,1,5.0,5,0.30010358393192293,0.3855332732200622,0.18827151805162426,-0.00515450155735018,1,SPURIOUS,{'SPURIOUS': 5}
neural_ode,gabaa_per_tc,ridge,1,5.0,5,0.3732198143005371,0.4680615782737732,0.08407969713211057,-0.00515450155735018,1,SPURIOUS,{'SPURIOUS': 5}
neural_ode,gabab_per_tc,mlp_1,1,150.0,5,0.7961936354637146,0.816024661064148,0.3248605728149414,0.0027010961771010604,5,SPURIOUS,{'SPURIOUS': 5}
neural_ode,gabab_per_tc,mlp_2,1,150.0,5,0.8362608790397644,0.8391485214233398,0.22075110673904413,0.0027010961771010604,5,SPURIOUS,{'SPURIOUS': 5}
neural_ode,gabab_per_tc,ridge,1,150.0,5,0.9650878739356994,0.9674334049224852,0.21136001110076902,0.0027010961771010604,5,SPURIOUS,{'SPURIOUS': 5}
neural_ode,tc_h_T,mlp_1,2,20.0,5,0.12906015515327451,0.1610065847635269,0.034132125973701424,0.0051322532892226795,1,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,tc_h_T,mlp_2,2,20.0,5,0.12465952932834623,0.1569341868162155,0.01579823344945906,0.0051322532892226795,1,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,tc_h_T,ridge,2,20.0,5,0.16742653846740718,0.2085001349449157,0.03074454307556148,0.0051322532892226795,1,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,tc_h_T_rank,mlp_1,3,20.0,5,-0.00421220547286788,-0.0009509801748208,-0.0033665729220956403,0.01132622480392448,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_h_T_rank,mlp_2,3,20.0,5,-0.0008794403169304201,0.0008197784190997,-0.006664311955682881,0.01132622480392448,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_h_T_rank,ridge,3,20.0,5,0.01545092105865474,0.0291038393974304,0.0003138256072997999,0.01132622480392448,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_h_T_zscore,mlp_1,3,20.0,5,0.00028484345821196,0.0010980248916894,-0.020598948062979558,0.0093255097866058,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_h_T_zscore,mlp_2,3,20.0,5,0.00153503658366384,0.0049089789390563,-0.03701532615232278,0.0093255097866058,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_h_T_zscore,ridge,3,20.0,5,0.01657697439193718,0.0278270006179809,0.0003227829933166599,0.0093255097866058,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_T,mlp_1,2,1.0,5,0.01484394818544384,0.0190538056194782,-0.0058643836528062205,0.007595729351043639,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_T,mlp_2,2,1.0,5,0.018243236839771224,0.0237860325723886,-0.00475028194487088,0.007595729351043639,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_T,ridge,2,1.0,5,0.032617669105529754,0.0357480645179748,0.007310588359832721,0.007595729351043639,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
