architecture,target,tier,group,timescale_ms,neuron_idx,probe_type,r2_trained,r2_untrained,delta_r2,selectivity,p_value,r2_null_mean,r2_null_std,block_size,tau_e,pearson_trained,pearson_untrained
lstm,tc_m_T,2,tier2_individual_gates,1.0,1,mlp_1,0.6360307931900024,0.5139930248260498,0.12203776836395264,0.5016115969419479,0.047619047619047616,0.021694152951240542,0.0012224438550314817,50,13,0.799707293510437,0.7308306694030762
lstm,tc_m_T,2,tier2_individual_gates,1.0,1,mlp_2,0.6468440890312195,0.5740371942520142,0.07280689477920532,0.5016115969419479,0.047619047619047616,0.021694152951240542,0.0012224438550314817,50,13,0.811701774597168,0.7735316157341003
lstm,tc_m_T,2,tier2_individual_gates,1.0,2,ridge,0.5032077074050904,0.5451602578163147,-0.041952550411224365,0.48284706234931946,0.047619047619047616,0.020360645055770874,0.0013243102955538873,50,13,0.7102928161621094,0.7387597560882568
lstm,tc_m_T,2,tier2_individual_gates,1.0,2,mlp_1,0.6257511973381042,0.5223357677459717,0.10341542959213257,0.48284706234931946,0.047619047619047616,0.020360645055770874,0.0013243102955538873,50,13,0.7935034036636353,0.7336767315864563
lstm,tc_m_T,2,tier2_individual_gates,1.0,2,mlp_2,0.6306571960449219,0.5634317398071289,0.06722545623779297,0.48284706234931946,0.047619047619047616,0.020360645055770874,0.0013243102955538873,50,13,0.7993862628936768,0.7594012022018433
lstm,tc_m_T,2,tier2_individual_gates,1.0,3,ridge,0.4958686828613281,0.525747561454773,-0.029878878593444846,0.4711579692363739,0.047619047619047616,0.024710713624954223,0.001374898973684048,50,14,0.704681396484375,0.7257058024406433
lstm,tc_m_T,2,tier2_individual_gates,1.0,3,mlp_1,0.6385229825973511,0.5221604108810425,0.1163625717163086,0.4711579692363739,0.047619047619047616,0.024710713624954223,0.001374898973684048,50,14,0.8017461895942688,0.7360073328018188
lstm,tc_m_T,2,tier2_individual_gates,1.0,3,mlp_2,0.6557766795158386,0.5831869840621948,0.0725896954536438,0.4711579692363739,0.047619047619047616,0.024710713624954223,0.001374898973684048,50,14,0.8156538009643555,0.7772831916809082
lstm,tc_m_T,2,tier2_individual_gates,1.0,4,ridge,0.5146990537643432,0.532256543636322,-0.017557489871978804,0.4887059891223907,0.047619047619047616,0.02599306464195251,0.0014402057184954911,50,14,0.7183467745780945,0.7306045889854431
lstm,tc_m_T,2,tier2_individual_gates,1.0,4,mlp_1,0.6279663443565369,0.5167762637138367,0.1111900806427002,0.4887059891223907,0.047619047619047616,0.02599306464195251,0.0014402057184954911,50,14,0.7945221066474915,0.7304694056510925
lstm,tc_m_T,2,tier2_individual_gates,1.0,4,mlp_2,0.6387137174606323,0.5806867480278015,0.05802696943283081,0.4887059891223907,0.047619047619047616,0.02599306464195251,0.0014402057184954911,50,14,0.8034248352050781,0.777044415473938
lstm,tc_h_T,2,tier2_individual_gates,20.0,0,ridge,0.7911530494689941,0.6890786290168762,0.1020744204521179,0.6244769769906997,0.047619047619047616,0.16667607247829436,0.003563994095411184,96,32,0.889794647693634,0.8309524655342102
lstm,tc_h_T,2,tier2_individual_gates,20.0,0,mlp_1,0.8687005043029785,0.7193170785903931,0.14938342571258545,0.6244769769906997,0.047619047619047616,0.16667607247829436,0.003563994095411184,96,32,0.9330121278762817,0.8669098019599915
lstm,tc_h_T,2,tier2_individual_gates,20.0,0,mlp_2,0.8466548919677734,0.785275936126709,0.06137895584106445,0.6244769769906997,0.047619047619047616,0.16667607247829436,0.003563994095411184,96,32,0.9361709356307983,0.9095295667648315
lstm,tc_h_T,2,tier2_individual_gates,20.0,1,ridge,0.746345865726471,0.7519817352294922,-0.005635869503021196,0.5980358189344406,0.047619047619047616,0.14831004679203036,0.0022076273838292464,102,34,0.8643814325332642,0.8685920834541321
lstm,tc_h_T,2,tier2_individual_gates,20.0,1,mlp_1,0.851354718208313,0.7472074031829834,0.10414731502532959,0.5980358189344406,0.047619047619047616,0.14831004679203036,0.0022076273838292464,102,34,0.9253436326980591,0.8794299960136414
lstm,tc_h_T,2,tier2_individual_gates,20.0,1,mlp_2,0.8522230386734009,0.7782869338989258,0.0739361047744751,0.5980358189344406,0.047619047619047616,0.14831004679203036,0.0022076273838292464,102,34,0.9311731457710266,0.9023842811584473
lstm,tc_h_T,2,tier2_individual_gates,20.0,2,ridge,0.7185706377029419,0.6947900056838989,0.023780632019043013,0.5679861724376678,0.047619047619047616,0.15058446526527408,0.002789542169421416,99,33,0.8478067517280579,0.8340474367141724
lstm,tc_h_T,2,tier2_individual_gates,20.0,2,mlp_1,0.815997302532196,0.6569994688034058,0.15899783372879028,0.5679861724376678,0.047619047619047616,0.15058446526527408,0.002789542169421416,99,33,0.9054072499275208,0.8335477709770203
lstm,tc_h_T,2,tier2_individual_gates,20.0,2,mlp_2,0.8147689700126648,0.744382917881012,0.07038605213165283,0.5679861724376678,0.047619047619047616,0.15058446526527408,0.002789542169421416,99,33,0.9113272428512573,0.8970409631729126
